draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
311,74.69539274253219,43.61082355823051,100.0,100.0,28.27906326706072,9.363268377285783,9.646487280586246,2.721114921404666,7.173313225525179,1.984474451144258
312,82.40051666589751,58.80305530322738,100.0,100.0,21.062895752451915,7.522738517704608,7.179248190702037,2.303649624859516,5.358217603494008,1.6967214269651087
313,71.50295892871401,49.93946070687214,100.0,100.0,32.13691049268033,15.844424664309564,8.837380277097184,3.711137510424156,6.4198734603226555,2.6550981218367964
314,80.05959053185273,59.80506346449719,100.0,100.0,24.513952756089974,10.741898384167204,7.335547008183296,2.8500277315414158,5.726308623289045,2.201425927214684
315,82.04913770491578,52.586491787579135,100.0,100.0,21.061945075230014,6.080640795549641,8.882785560986484,2.310881357283223,6.538685611872652,1.6692860838380286
316,62.90728349818566,32.66854320270319,100.0,100.0,40.36324203055406,16.221877934614458,7.53536156114798,2.278336591457508,5.302862137191822,1.5767773000616603
317,76.36859177124131,42.714793548070375,100.0,100.0,26.903411924505928,7.82746661742677,6.631326515868841,1.6123160168395545,5.008272497380473,1.2018812724853833
318,75.7531992301053,45.85496624363342,100.0,100.0,28.291148480469296,9.661196386199633,9.473868004784814,2.7585736147997197,7.058169401129943,2.017028476790683
319,81.81695291686704,55.884099008410715,100.0,100.0,22.385884841869196,7.510077372724777,11.448078967814224,3.511765833562064,8.390778809645017,2.5137551245992484
320,72.87726144634583,42.424357393354995,100.0,100.0,30.14480371339706,10.58175115138883,5.191855367299958,1.479520867089612,3.9556929107112615,1.116840630875482
321,81.77570669315475,56.4894488250189,100.0,100.0,21.51669082431945,7.349265694677598,7.743931491728839,2.37106778725944,5.64066517152233,1.70019279824426
322,63.46294841028622,36.015218154674756,100.0,100.0,38.933255442872074,17.12276080110887,4.732110462177386,1.584148801618801,3.708593394654347,1.2327002795559427
323,75.96195863548735,42.6390309315928,100.0,100.0,27.84148176909431,8.32086648473027,8.720384477157506,2.197878464645864,6.4684155430419725,1.600755631717865
324,79.9225038252586,54.10215663242314,100.0,100.0,23.706355968141047,8.425820024557618,6.795373512812852,2.1133058255846215,5.0400429711978445,1.5473299221447467
325,69.74556713992645,45.81342530691022,100.0,100.0,34.16576225822099,15.989853808889832,6.119546095265271,2.3348402885110087,4.554385475489154,1.7199376144453216
326,76.19075538181048,53.2437759051452,100.0,100.0,27.5736052387746,11.93135991488644,11.148049603160482,4.274000754029316,8.291878290463506,3.117202209383063
327,83.12458268262766,55.456565483255105,100.0,100.0,20.76016239972327,6.2106080526856955,10.411160448827527,2.8534267822349246,7.609730575609353,2.0393371577663078
328,69.40439106361957,41.30708497063714,100.0,100.0,35.78767547424858,14.742007898040033,6.77529907630694,2.2050706823203314,5.150788662067907,1.6568876456898418
329,78.58668868766479,48.81770081183517,100.0,100.0,25.1575327312068,8.034098482397201,8.337323774178785,2.309291648851197,6.282842597845306,1.7124896678897716
